温尚翊	0	王识贤	52.27	黄姵嘉	2839.67	姚安琪	52.27	孔玟燕	93.33	孔玟燕	65.33	雷珲	65.33
沈腾	38289.24	尹正	13450.08	马丽	24638.78	王智	28937.44	闫非	25837	闫非	36171.8	刘洪涛	36171.8
赵又廷	38827.6	冯粒	47438.72	姚晨	88252.33	唐嫣	26993.48	陆川	24723.5	陆川	59298.4	张昭	59298.4
刘德华	26366.23	刘烨	5117.47	李梦	9594.67	马思纯	23099.04	丁晟	8245	丁晟	11543	夏陈安	11543
霍卫民	0	王笑天	793.33	罗芸	991.67	孙黎	793.28	忻钰坤	425	忻钰坤	991.67	任江洲	991.67
张翰	6647.67	王啸坤	6652.33	陈乔恩	20175.95	施予斐	2350.99	田蒙	2849	田蒙	3789.34	许一顶	6647.67
马浴柯	15502.47	潘粤明	15532.65	吴昕	441	莫小棋	16849.15	彭发	1421	彭发	1389.11	王翎霁	455
夏雨	70995.56	邱泽	1114.4	关晓彤	15258.4	刘孜	655.2	尤丽丽	597	宁瀛	753.67	韩骏	1393
郑中基	5954.83	胡耀辉	1269.33	张暖雅	802.67	雨侨	642.08	胡耀辉	8490.33	胡耀辉	802.67	田启文	802.67
张译	8812.74	董子健	4165.78	赵涛	3931.67	刘陆	199.68	贾樟柯	1685	贾樟柯	3931.67	市山尚三	3931.67
鹿晗	25041.04	朱亚文	15617.44	杨幂	30851.17	柴蔚	0	顾小白	12103	安尚勋	28240.33	尹昌业	28240.33
任贤齐	1453.67	石知田	629.07	贾静雯	1690.5	程予希	629.04	袁琼琼	337	周格泰	786.33	曾瀚贤	786.33
彭于晏	17637.32	金士杰	15386.84	舒淇	43725.5	潘虹	7375.2	落落	3951	落落	9219	滕华涛	17505.83
郑恺	1681.17	张艺兴	13899.2	郭采洁	27327.24	无	0	老史	10912	田羽生	14411.83	王中磊	29135.25
包贝尔	42120.6	冯四	1260	孙怡	1575	杜焕荣	1260	郝杰	1125	郝杰	1575	赵丽颖	1575
刘畅	9424.33	金世佳	7951.53	白百何	30379.07	唐艺昕	4674.12	钱小蕙	4039	秦小珍	16808.17	周迅	9424.33
王大陆	19176.5	李玉玺	15341.2	宋芸桦	10106.06	简廷芮	15341.2	曾咏婷	10958	陈玉珊	19176.5	叶如芬	19176.5
张智霖	6634.54	唐文龙	1237.97	薛家燕	4215.17	佘诗曼	7801.28	叶念琛	1615.53	叶念琛	2365.42	陈颖伦	4215.17
陈建斌	2061.5	王学兵	14512.27	蒋勤勤	4221.78	无	0	陈建斌	1325	陈建斌	3091.67	森岛	3091.67
刘青云	11047.75	林家栋	8556.8	江一燕	10366.3	李小璐	4998.77	杨倩玲	4011	罗志良	9359	尔冬升	9359
陈柏霖	17960.08	乔振宇	3089.33	孙艺珍	7228.67	关晓彤	12206.7	扈晶波	3098	孙皓	7228.67	陆国强	7228.67
李易峰	40672.33	张云龙	31054.1	杨幂	30851.17	陈数	24293.2	陈国辉	18137.63	陈国辉	21845.25	曾嘉	17302.25
陈学冬	25978.52	张艺兴	13899.2	姜雯	9286.67	李小璐	4998.77	李茜	3966	魏楠	9254	章子怡	9254
周渝民	8700.81	陈柏霖	14368.07	林依晨	5724.83	邬君梅	2373.74	苟兴妍	2644	安竹间	6169.33	王子文	6169.33
廖凡	8646.17	金士杰	15386.84	宋佳	5456.5	蒋雯丽	20229.88	徐皓峰	3118	徐皓峰	5456.5	胡晓峰	5456.5
陈坤	59125.5	黄渤	35519.23	舒淇	43725.5	杨颖	35183.53	张家鲁	60075	乌尔善	140175	陶昆	37133.98
白客	35864.11	陈柏霖	14368.07	杨子姗	18490.36	贾玲	28233.28	易小星	15125	易小星	17721.44	黄建新	29307.95
冯小刚	22190.88	李易峰	39990.53	许晴	22251.54	梁静	35505.36	管虎	34617.48	管虎	44381.75	王中磊	29135.25
邓超	47687.28	梁超	75976.37	孙俪	31808.9	代乐乐	71381.76	俞白眉	43418.16	俞白眉	62538.29	邓超	89227.25
王宝强	32329.42	刘昊然	42221.9	佟丽娅	27880.5	张子枫	55796.96	陈思成	37831.75	陈思成	52777.38	陈祉希	69746.25
沈腾	38289.24	杜晓宇	10484.6	马丽	24638.78	王子子	10484.56	范伟	7489	张承	7131.54	高希希	13105.75

